Results for error margin CALCULATE PROBABILITY
r: 100, b: 1, d: 10, a: 1, v: 2, function: 0.1387908725812981, result: 0.16359999999999997
r: 100, b: 1, d: 10, a: 10, v: 2, function: 0.05469885175462376, result: 0.16499999999999998
r: 100, b: 1, d: 100, a: 1, v: 2, function: 0.9324188719082305, result: 1.252
r: 100, b: 1, d: 100, a: 10, v: 2, function: 0.36747547370484857, result: 0.6794
r: 100, b: 1, d: 1000, a: 1, v: 2, function: 5.680269887844297, result: 5.7042
r: 100, b: 1, d: 1000, a: 10, v: 2, function: 2.2386503863173743, result: 2.7596
r: 1000, b: 1, d: 10, a: 1, v: 2, function: 1.0599393705074176, result: 1.3572
r: 1000, b: 1, d: 10, a: 10, v: 2, function: 0.4177325599153762, result: 1.3981999999999999
r: 1000, b: 1, d: 100, a: 1, v: 2, function: 7.1208390995649635, result: 8.8902
r: 1000, b: 1, d: 100, a: 10, v: 2, function: 2.806392920741081, result: 5.4601999999999995
r: 1000, b: 1, d: 1000, a: 1, v: 2, function: 43.37995415157589, result: 42.7346
r: 1000, b: 1, d: 1000, a: 10, v: 2, function: 17.09646778010935, result: 17.495
r: 10000, b: 1, d: 10, a: 1, v: 2, function: 10.271424349768614, result: 15.409799999999999
r: 10000, b: 1, d: 10, a: 10, v: 2, function: 4.048069641522901, result: 16.8124
r: 10000, b: 1, d: 100, a: 1, v: 2, function: 69.00504137613227, result: 74.8604
r: 10000, b: 1, d: 100, a: 10, v: 2, function: 27.1955673911034, result: 44.2802
r: 10000, b: 1, d: 1000, a: 1, v: 2, function: 420.3767967888919, result: 369.837
r: 10000, b: 1, d: 1000, a: 10, v: 2, function: 165.67464171802914, result: 160.6742
r: 100000, b: 1, d: 10, a: 1, v: 2, function: 102.38627414238056, result: 154.946
r: 100000, b: 1, d: 10, a: 10, v: 2, function: 40.351440457598144, result: 158.53199999999998
r: 100000, b: 1, d: 100, a: 1, v: 2, function: 687.8470641418055, result: 737.516
r: 100000, b: 1, d: 100, a: 10, v: 2, function: 271.0873120947266, result: 427.11
r: 100000, b: 1, d: 1000, a: 1, v: 2, function: 4190.345223162052, result: 3696.8
r: 100000, b: 1, d: 1000, a: 10, v: 2, function: 1651.4563810972268, result: 1588.904
Results for error margin CALCULATE PROBABILITY
Results for error margin CALCULATE PROBABILITY
r: 10, b: 1, d: 10, a: 1, v: 2, function: 0.04667602278868616, result: 0.05040000000000001
r: 10, b: 1, d: 10, a: 5, v: 2, function: 0.020632895257933277, result: 0.056
r: 10, b: 1, d: 10, a: 10, v: 2, function: 0.01839548093854851, result: 0.046400000000000004
r: 10, b: 1, d: 50, a: 1, v: 2, function: 0.15678842457127862, result: 0.1046
r: 10, b: 1, d: 50, a: 5, v: 2, function: 0.06930751483435511, result: 0.04800000000000001
r: 10, b: 1, d: 50, a: 10, v: 2, function: 0.06179186450061272, result: 0.049600000000000005
r: 10, b: 1, d: 100, a: 1, v: 2, function: 0.31357684914255723, result: 0.162
r: 10, b: 1, d: 100, a: 5, v: 2, function: 0.13861502966871023, result: 0.10859999999999999
r: 10, b: 1, d: 100, a: 10, v: 2, function: 0.12358372900122544, result: 0.1018
r: 10, b: 1, d: 500, a: 1, v: 2, function: 0.9551507307355686, result: 0.39640000000000003
r: 10, b: 1, d: 500, a: 5, v: 2, function: 0.4222194567010611, result: 0.2174
r: 10, b: 1, d: 500, a: 10, v: 2, function: 0.37643432346908856, result: 0.1922
r: 10, b: 1, d: 1000, a: 1, v: 2, function: 1.910301461471137, result: 0.7132
r: 10, b: 1, d: 1000, a: 5, v: 2, function: 0.8444389134021222, result: 0.3952
