Results for error margin CALCULATE PROBABILITY
 1.5
Red: 
[('r', 5000.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 2.031215707296498), (' result', 14.822799999999999), 0.13703319934806502]
[('r', 5000.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 2.2782693790350224), (' result', 14.867199999999999), 0.1532413217710815]
[('r', 50000.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 22.637716627525805), (' result', 142.63), 0.15871637542961373]
[('r', 50000.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 20.182901115334122), (' result', 124.148), 0.16257129486849664]
[('r', 10000.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 4.048069641522901), (' result', 18.1772), 0.22270039618439041]
[('r', 100000.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 40.351440457598144), (' result', 158.366), 0.2547986339087818]
[('r', 10000.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 4.540430184422887), (' result', 16.4002), 0.27685212280477595]
[('r', 100000.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 45.25932468140445), (' result', 156.188), 0.28977466054629325]
[('r', 1000.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 0.4177325599153762), (' result', 1.399), 0.298593681140369]
[('r', 500.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 0.21604716649273598), (' result', 0.7136), 0.3027566795021524]
[('r', 100.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 0.05469885175462376), (' result', 0.16959999999999997), 0.322516814590942]
[('r', 50.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 0.03453031241235972), (' result', 0.10460000000000001), 0.3301177094871866]
[('r', 1000.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 0.46854073472473046), (' result', 1.3614), 0.34416096277709013]
[('r', 500.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 0.242324654185944), (' result', 0.7016), 0.3453886177108666]
[('r', 5000.0), (' b', 1.0), (' d', 10.0), (' a', 1.0), (' v', 2.0), (' function', 5.153932694623505), (' result', 14.354000000000001), 0.35905898666737524]
[('r', 100.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 0.06135178975491484), (' result', 0.1702), 0.3604687999701225]
[('r', 50.0), (' b', 1.0), (' d', 10.0), (' a', 5.0), (' v', 2.0), (' function', 0.03873018170103618), (' result', 0.1), 0.3873018170103618]
[('r', 10.0), (' b', 1.0), (' d', 10.0), (' a', 10.0), (' v', 2.0), (' function', 0.01839548093854851), (' result', 0.047200000000000006), 0.3897347656472141]
